,city_name,country,temperature,humidity,cloudness,wind_speed,lat,long,city_name_owm
112,haines junction,ca,6.11,49,56,1.42,60.74663435,-137.506245274628,Haines Junction
113,palana,ru,1.66,96,80,1.67,59.0827605,159.9512943,Palana
114,aldenhoven,de,22.73,73,12,3.1,50.8962734,6.2827943,Aldenhoven
115,mar del plata,ar,10.01,63,0,6.02,-37.9977225,-57.5482703,Mar del Plata
116,belushya guba,ru,-2.6,78,0,3.77,71.5386769,52.337048,
117,mrirt,ma,10.46,82,8,0.92,33.161,-5.566,Aguelmous
118,bagrami,af,17.0,29,0,2.6,34.483553,69.336171,Bagrami
119,kavieng,pg,27.21,100,64,1.87,-2.573474,150.795224,Kavieng
120,kungurtug,ru,2.36,66,0,1.42,50.5986817,97.5254386,Kungurtug
121,san quintin,mx,27.0,83,20,1.0,16.4062455,-91.3475783,San Quintin
122,olafsvik,is,6.86,97,76,4.52,64.8959304,-23.7084345,Ólafsvík
123,arraial do cabo,br,22.0,78,40,2.1,-22.9662839,-42.024427,Arraial do Cabo
124,huron,us,29.42,54,1,3.1,41.1305303,-82.591828,Huron
125,ometepec,mx,31.01,53,0,2.22,16.6726427,-98.3630312330977,Ometepec
126,dunedin,nz,-4.05,85,8,2.12,-45.8739282,170.503488,Dunedin
127,indian head,ca,27.41,29,0,3.27,56.0699126,-122.6937672,Indian Head
128,provideniya,ru,2.0,94,90,5.0,64.4238198,-173.2275013,Provideniya
129,kamakwie,sl,24.06,92,56,2.07,9.496301,-12.241252,Kamakwie
130,nikolskoye,ru,13.0,54,0,1.0,59.7034799,30.7861084,Nikolskoye
131,vestmanna,fo,7.0,93,24,3.1,62.156,-7.166,Vestmanna
132,adre,td,24.16,57,12,1.62,13.48108405,22.1797734430745,Adre
133,cabo san lucas,mx,30.62,32,5,5.1,22.8938107,-109.9111325,Cabo San Lucas
134,avarua,ck,29.0,79,40,5.57,-21.2074736,-159.7708145,Avarua
135,coahuayana,mx,33.46,28,0,1.32,18.75863645,-103.596914667356,Coahuayana
136,iqaluit,ca,-1.0,92,90,9.8,63.7585754,-68.5604284,Iqaluit
137,sao filipe,cv,22.16,96,0,7.32,14.92119945,-24.4416689711686,Sao Filipe
138,torbay,ca,12.0,40,20,6.7,47.6576953,-52.726986,Torbay
139,aklavik,ca,0.24,74,75,1.0,68.2182579,-135.0135855,Aklavik
140,pevek,ru,1.81,88,0,8.22,69.7028171,170.2746851,Pevek
141,khatanga,ru,0.41,95,80,6.42,72.5506577,104.2768795,Khatanga
142,pahasu,in,27.71,30,0,4.22,28.171963,78.063567,Pahasu
143,lata,sb,12.06,63,68,0.67,-10.7241726,165.7977641,Lata
144,berlevag,no,7.0,87,75,4.6,70.79904505,29.1505286465325,Berlevag
145,vestmannaeyjar,is,7.31,87,64,4.22,63.4401009,-20.2785899,Vestmannaeyjar
146,souillac,mu,16.9,93,24,2.1,-20.51849005,57.5250732453092,Souillac
147,ennis,us,21.0,68,75,2.1,32.3293111,-96.6252679,Ennis
148,buala,sb,27.71,93,56,2.52,-8.145546,159.5930366,Buala
149,amderma,ru,-2.4,98,80,3.32,69.7634883,61.5600439,Rudnik
150,vardo,no,23.16,73,75,4.1,70.3308174,30.9617519722659,Vardo
151,cayenne,gf,25.0,94,92,2.6,4.0,-52.5,Cayenne
152,coquimbo,cl,13.0,87,75,3.1,-29.9531138,-71.3380213,Coquimbo
153,cocorit,mx,36.0,18,5,4.1,27.5751082,-109.9591081,Cocorit
154,virginia beach,us,22.7,94,1,3.6,36.7953025,-76.0509251225811,Virginia Beach
155,hargeysa,so,22.86,53,24,6.87,9.561733,44.061803,Hargeysa
156,sandpoint,us,26.33,27,1,4.1,48.2765903,-116.5532476,Sandpoint
157,codrington,ag,11.06,98,24,1.07,17.640463,-61.8255199,Codrington
158,wolfville,ca,18.0,59,20,6.2,45.091225,-64.3644923,Wolfville
159,morant bay,jm,30.0,74,20,8.7,17.8820832,-76.4115503,Morant Bay
160,dzhebariki-khaya,ru,7.36,37,0,6.47,62.218327,135.859451,Dzhebariki-Khaya
161,saleaula,ws,28.06,100,64,2.97,-13.4518478,-172.3318889,Safotu
162,ponta do sol,cv,18.16,44,0,3.32,17.2020504,-25.0922664,Ponta do Sol
163,rungata,ki,26.34,83,75,1.5,38.0722901,-84.4859523,Lexington-Fayette
164,kambove,cd,16.36,67,0,2.12,-10.8760688,26.5959708,Kambove
165,russkaya polyana,ru,12.81,59,68,7.77,53.780357,73.882103,Russkaya Polyana
166,busselton,au,15.36,100,64,4.17,-33.644499,115.3488754,Busselton
167,pevek,ru,1.81,88,0,8.22,69.7028171,170.2746851,Pevek
168,todos santos,mx,30.67,27,5,3.6,23.450067,-110.225374,Todos Santos
169,mandera,ke,29.41,42,56,4.57,3.2285332,40.7056165414439,Mandera
170,talnakh,ru,-0.45,94,92,4.77,69.4918008,88.4238928,Talnakh
171,severo-kurilsk,ru,2.76,99,68,1.62,50.6683048,156.1154399,Severo-Kurilsk
172,pantai remis,my,24.93,83,75,1.5,4.455272,100.626025,Pantai Remis
173,mackay,au,21.47,35,75,6.2,-21.141956,149.1865149,Mackay
174,bathsheba,bb,27.0,74,40,7.7,13.2135523,-59.5227245,Bathsheba
175,chuy,uy,23.61,67,92,5.92,-33.6937948,-53.4561114,Chuy
176,kavaratti,in,27.01,100,92,12.38,10.5672203,72.6394636,Kavaratti
177,lagoa,pt,17.0,72,20,7.7,41.4456551,-6.7686437,Lagoa
178,mount isa,au,12.0,76,0,4.47,-20.7289898,139.4931522,Mount Isa
179,road town,vg,29.0,62,40,4.1,18.4257128,-64.6232227,Road Town
180,isangel,vu,23.91,100,48,8.42,-19.5410863,169.2810885,Isangel
181,pangnirtung,ca,0.0,89,90,12.9,66.1490118,-65.7178541,Pangnirtung
182,karaul,ru,3.81,93,68,2.42,54.0672222,56.7261694,Bakrak
183,araouane,ml,31.21,17,0,1.77,18.9041133,-3.5275407,Araouane
184,mega,et,16.91,91,76,1.97,4.0588,38.32089,Mega
185,idukki,in,22.91,98,92,2.12,9.8497872,76.9797914,Idukki
186,porto walter,br,28.91,70,0,0.32,-8.2687722,-72.7444458,Porto Walter
187,broken hill,au,12.56,96,48,3.87,-31.965,141.4511111,Broken Hill
188,thaba-tseka,ls,8.06,45,12,2.97,-29.5699207,28.5938214,Thaba-Tseka
189,norsup,vu,24.61,97,48,4.22,-16.05733175,167.410242035414,Norsup
190,manaure,co,30.0,74,75,5.1,11.625262,-72.6043337148639,Manaure
191,galesong,id,25.0,94,20,1.0,-5.3940815,119.3627343,Galesong
192,tahta,eg,26.0,41,0,3.6,26.75,31.466667,Sāḩil Ţahţā
193,tuktoyaktuk,ca,-3.0,86,90,3.1,69.4440189,-133.0319049,Tuktoyaktuk
194,pilar,ph,23.32,69,24,2.6,11.5092408,123.014320550033,Pilar
195,nadym,ru,-0.6,97,80,5.67,65.5336238,72.5113955,Nadym
196,srednekolymsk,ru,8.66,61,0,3.07,67.45546,153.707092,Srednekolymsk
197,lhokseumawe,id,28.91,99,20,3.82,5.1626619,97.1010850894053,Lhokseumawe
198,kushima,jp,19.3,100,75,2.6,31.4968635,131.292426,Kushima
199,sioux lookout,ca,25.0,31,40,2.6,50.11345465,-92.1962432261908,Sioux Lookout
200,bethel,us,9.0,71,40,2.6,60.7922222,-161.7558333,Bethel
201,anloga,gh,28.0,78,20,6.2,5.7936484,0.8984702,Anloga
202,havelock,us,23.33,100,90,3.1,34.8785,-76.9014457,Havelock
203,umm lajj,sa,27.06,74,0,3.42,25.0239835,37.2669339,Umm Lajj
204,kahului,us,25.42,69,75,5.7,20.8894101,-156.4727118,Kahului
205,aykhal,ru,-2.7,70,0,1.67,65.945129,111.508072,Aykhal
206,dikson,ru,-3.65,94,80,6.07,73.5046755,80.3152069740025,Dikson
207,norman wells,ca,9.0,61,75,2.6,65.282401,-126.8327253,Norman Wells
208,thompson,ca,23.0,31,20,4.6,55.743347,-97.863464,Thompson
209,waipawa,nz,7.46,93,92,5.92,-41.4113042,175.5182799,Waipawa
210,nanzhang,cn,17.51,64,100,1.17,31.7769206,111.8331767,Nanzhang
211,wamba,cd,20.56,94,12,0.97,-6.4279023,17.3736695,Wamba
212,kokopo,pg,27.16,100,20,2.97,-4.343838,152.2687599,Kokopo
213,yulara,au,10.0,71,0,3.6,-25.2410108,130.9869405,Yulara
214,xining,cn,-0.05,86,20,1.17,36.6219037,101.7729898,Xining
215,khandbari,np,3.96,75,0,0.67,27.377764,87.208145,Khandbari
216,port lincoln,au,13.61,100,88,8.02,-34.7211905,135.8592218,Port Lincoln
217,airai,pw,15.11,86,0,0.67,7.3599342,134.5601154,Airai
218,karratha,au,17.96,40,0,6.92,-20.7370067,116.8478592,Karratha
219,nuevo progreso,mx,35.55,29,40,2.1,26.0544108,-97.9518067,Nuevo Progreso
220,amahai,id,25.16,100,92,2.72,-3.3081717,129.0010636,Amahai
221,acajutla,sv,30.85,66,40,4.1,13.5905198,-89.8328217,Acajutla
222,matagami,ca,21.71,91,20,1.67,49.7575884,-77.6300251,Matagami
223,aksay,kz,17.71,50,0,5.57,43.216553,79.118095,Aksay
224,vostok,ru,10.16,87,0,0.72,55.6316716,54.633822,Vostok
225,nguiu,au,25.71,98,0,5.27,-11.7625858,130.6321091,Nightcliff
226,pangody,ru,-1.05,97,68,5.97,65.856575,74.494797,Pangody
227,severnyy,ru,7.46,61,92,1.87,62.9951792,46.762377,Blagoyevo
228,ville-marie,ca,20.0,88,75,4.1,47.332308,-79.438019,Ville-Marie
229,praia,cv,19.47,52,0,4.1,14.9160169,-23.5096132,Praia
230,ust-ishim,ru,6.51,81,88,2.97,57.693462,71.169968,Ust-Ishim
